RatID,Stage,Trial,Left Medium,Left Odor,Right Medium,Right Odor,Correct/Incorrect,Rewarded,Investigation,Omit/Note,nLatency,Latency,First Response (side),First Response (correct?)
41,SD,1,M1,O,M2,O,1,M2,Choice 2,,1:54,104,R,1
41,SD,2,M2,O,M1,O,1,M2,Choice 1,,0:11,11,L,1
41,SD,3,M2,O,M1,O,1,M2,Choice 1,,0:05,5,L,1
41,SD,4,M1,O,M2,O,1,M2,Choice 2,,0:04,4,L,0
41,SD,5,M2,O,M1,O,1,M2,Choice 1,,0:04,4,L,1
41,SD,6,M2,O,M1,O,1,M2,Choice 1,,0:04,4,L,1
41,CD,1,M1,O1,M2,O2,1,M2,Choice 2,,0:15,15,R,1
41,CD,2,M2,O2,M1,O1,1,M2,Choice 1,,0:04,4,L,1
41,CD,3,M2,O1,M1,O2,1,M2,Choice 1,,0:04,4,L,1
41,CD,4,M1,O2,M2,O1,1,M2,Choice 1,,0:04,4,L,1
41,CD,5,M2,O2,M1,O1,1,M2,Choice 1,,0:19,19,R,0
41,CD,6,M2,O1,M1,O2,1,M2,Choice 1,,0:11,11,R,0
41,REV1,1,M1,O1,M2,O2,1,M1,Choice 1,,0:04,4,L,1
41,REV1,2,M2,O2,M1,O1,1,M1,Choice 1,,0:04,4,R,1
41,REV1,3,M2,O1,M1,O2,1,M1,Choice 1,,0:04,4,R,1
41,REV1,4,M1,O2,M2,O1,0,M1,Choice 1,,0:04,4,L,0
41,REV1,5,M2,O2,M1,O1,1,M1,Choice 1,,0:01,1,R,1
41,REV1,6,M2,O1,M1,O2,0,M1,Choice 1,,0:04,4,R,0
41,REV1,7,M1,O1,M2,O2,0,M1,Choice 1,,0:04,4,R,0
41,REV1,8,M2,O2,M1,O1,0,M1,Choice 1,,0:04,4,R,0
41,REV1,9,M1,O2,M2,O1,1,M1,Choice 1,,0:04,4,R,1
41,REV1,10,M2,O1,M1,O2,1,M1,Choice 1,,0:03,3,L,1
41,REV1,11,M1,O1,M2,O2,0,M1,Choice 1,,0:08,8,R,0
41,REV1,12,M1,O2,M2,O1,1,M1,Choice 1,,0:04,4,L,1
41,REV1,13,M2,O2,M1,O1,1,M1,Choice 1,,0:03,3,R,1
41,REV1,14,M1,O1,M2,O2,0,M1,Choice 1,,0:10,10,R,0
41,REV1,15,M1,O2,M2,O1,1,M1,Choice 1,,0:04,4,L,1
41,REV1,16,M2,O1,M1,O2,1,M1,Choice 1,,0:04,4,R,1
41,REV1,17,M2,O2,M1,O1,1,M1,Choice 1,,0:04,4,R,1
41,REV1,18,M1,O2,M2,O1,1,M1,Choice 1,,0:03,3,L,1
41,REV1,19,M1,O1,M2,O2,1,M1,Choice 2,,0:06,6,R,0
41,REV1,20,M2,O2,M1,O1,1,M1,Choice 1,,0:10,10,R,1
41,ID,1,M3,O3,M4,O4,0,M4,Choice 1,,0:05,5,L,0
41,ID,2,M4,O4,M3,O3,1,M4,Choice 1,,0:04,4,L,1
41,ID,3,M4,O3,M3,O4,1,M4,Choice 1,,0:04,4,L,1
41,ID,4,M3,O4,M4,O3,1,M4,Choice 1,,0:05,5,R,1
41,ID,5,M4,O4,M3,O3,1,M4,Choice 2,,0:10,10,R,0
41,ID,6,M4,O3,M3,O4,1,M4,Choice 1,,0:04,4,L,1
41,ID,7,M3,O3,M4,O4,1,M4,Choice 1,,0:04,4,R,1
41,REV2,1,M3,O3,M4,O4,0,M3,Choice 1,,0:04,4,R,0
41,REV2,2,M4,O4,M3,O3,1,M3,Choice 1,,0:04,4,R,1
41,REV2,3,M4,O3,M3,O4,0,M3,Choice 1,,0:08,8,L,0
41,REV2,4,M3,O4,M4,O3,1,M3,Choice 1,,0:04,4,L,1
41,REV2,5,M4,O4,M3,O3,0,M3,Choice 1,,0:04,4,L,0
41,REV2,6,M4,O3,M3,O4,0,M3,Choice 1,,0:04,4,L,0
41,REV2,7,M3,O3,M4,O4,1,M3,Choice 1,,0:04,4,L,1
41,REV2,8,M4,O4,M3,O3,0,M3,Choice 1,,0:03,3,L,0
41,REV2,9,M3,O4,M4,O3,1,M3,Choice 1,,0:05,5,L,1
41,REV2,10,M4,O3,M3,O4,1,M3,Choice 2,,0:05,5,L,0
41,REV2,11,M3,O3,M4,O4,1,M3,Choice 1,,0:04,4,L,1
41,REV2,12,M3,O4,M4,O3,1,M3,Choice 1,,0:03,3,L,1
41,REV2,13,M4,O4,M3,O3,1,M3,Choice 1,,0:04,4,R,1
41,REV2,14,M3,O3,M4,O4,1,M3,Choice 2,,0:06,6,R,0
41,ED,1,M5,O5,M6,O6,1,O6,Choice 1,,0:06,6,R,1
41,ED,2,M6,O6,M5,O5,0,O6,Choice 2,,0:15,15,L,1
41,ED,3,M6,O5,M5,O6,1,O6,Choice 2,,0:04,4,L,0
41,ED,4,M5,O6,M6,O5,1,O6,Choice 1,,0:04,4,L,1
41,ED,5,M6,O6,M5,O5,1,O6,Choice 1,,0:06,6,L,1
41,ED,6,M6,O5,M5,O6,0,O6,Choice 1,,0:05,5,L,0
41,ED,7,M5,O5,M6,O6,1,O6,Choice 2,,0:05,5,L,0
41,ED,8,M6,O6,M5,O5,1,O6,Choice 1,,0:04,4,L,1
41,ED,9,M5,O6,M6,O5,1,O6,Choice 1,,0:05,5,L,1
41,ED,10,M6,O5,M5,O6,1,O6,Choice 2,,0:04,4,L,0
41,ED,11,M5,O5,M6,O6,1,O6,Choice 2,,0:13,13,L,0
41,ED,12,M5,O6,M6,O5,0,O6,Choice 1,,0:10,10,R,0
41,ED,13,M6,O6,M5,O5,1,O6,Choice 1,,0:04,4,L,1
41,ED,14,M5,O5,M6,O6,1,O6,Choice 1,,0:04,4,R,1
41,ED,15,M5,O6,M6,O5,1,O6,Choice 1,,0:04,4,L,1
41,ED,16,M6,O5,M5,O6,1,O6,Choice 2,,0:06,6,L,0
41,ED,17,M6,O6,M5,O5,1,O6,Choice 1,,0:03,3,L,1
41,ED,18,M5,O6,M6,O5,1,O6,Choice 1,,0:04,4,L,1
41,REV3,1,M5,O5,M6,O6,0,O5,Choice 1,,0:12,12,R,0
41,REV3,2,M6,O6,M5,O5,0,O5,Choice 1,,0:04,4,L,0
41,REV3,3,M6,O5,M5,O6,1,O5,Choice 1,,0:04,4,L,1
41,REV3,4,M5,O6,M6,O5,0,O5,Choice 1,,0:05,5,L,0
41,REV3,5,M6,O6,M5,O5,1,O5,Choice 1,,0:04,4,R,1
41,REV3,6,M6,O5,M5,O6,1,O5,Choice 1,,0:03,3,L,1
41,REV3,7,M5,O5,M6,O6,1,O5,Choice 1,,0:05,5,L,1
41,REV3,8,M6,O6,M5,O5,1,O5,Choice 2,,0:07,7,L,0
41,REV3,9,M5,O6,M6,O5,1,O5,Choice 1,,0:05,5,R,1
41,REV3,10,M6,O5,M5,O6,1,O5,Choice 1,,0:04,4,L,1
