RatID,Stage,Trial,Left Medium,Left Odor,Right Medium,Right Odor,Correct/Incorrect,Rewarded,Investigation,Omit/Note,nLatency,Latency,First Response (side),First Response (correct?)
37,SD,1,M3,O,M4,O,0,M3,Choice 1,,0:13,13,R,0
37,SD,2,M4,O,M3,O,1,M3,Choice 1,,0:05,5,R,1
37,SD,3,M4,O,M3,O,1,M3,Choice 1,,0:04,4,R,1
37,SD,4,M3,O,M4,O,0,M3,Choice 1,,0:05,5,R,0
37,SD,5,M4,O,M3,O,1,M3,Choice 1,,0:04,4,R,1
37,SD,6,M4,O,M3,O,1,M3,Choice 1,,0:07,7,R,1
37,SD,7,M3,O,M4,O,1,M3,Choice 2,,0:07,7,R,0
37,SD,8,M4,O,M3,O,1,M3,Choice 1,,0:04,4,R,1
37,SD,9,M3,O,M4,O,1,M3,Choice 1,,0:04,4,L,1
37,SD,10,M4,O,M3,O,1,M3,Choice 1,,0:04,4,R,1
37,CD,1,M3,O3,M4,O4,0,M3,Choice 1,,0:05,5,R,0
37,CD,2,M4,O4,M3,O3,1,M3,Choice 1,,0:04,4,R,1
37,CD,3,M4,O3,M3,O4,1,M3,Choice 1,,0:04,4,R,1
37,CD,4,M3,O4,M4,O3,0,M3,Choice 1,,0:04,4,R,0
37,CD,5,M4,O4,M3,O3,1,M3,Choice 1,,0:04,4,R,1
37,CD,6,M4,O3,M3,O4,1,M3,Choice 1,,0:04,4,R,1
37,CD,7,M3,O3,M4,O4,1,M3,Choice 2,,0:09,9,R,0
37,CD,8,M4,O4,M3,O3,1,M3,Choice 2,,0:06,6,L,0
37,CD,9,M3,O4,M4,O3,1,M3,Choice 1,,0:03,3,L,1
37,CD,10,M4,O3,M3,O4,1,M3,Choice 1,,0:04,4,R,1
37,REV1,1,M3,O3,M4,O4,0,M4,Choice 2,,0:08,8,R,1
37,REV1,2,M4,O4,M3,O3,0,M4,Choice 1,,0:05,5,R,0
37,REV1,3,M4,O3,M3,O4,0,M4,Choice 1,,0:04,4,R,0
37,REV1,4,M3,O4,M4,O3,1,M4,Choice 1,,0:05,5,R,1
37,REV1,5,M4,O4,M3,O3,1,M4,Choice 1,,0:04,4,L,1
37,REV1,6,M4,O3,M3,O4,1,M4,Choice 1,,0:04,4,L,1
37,REV1,7,M3,O3,M4,O4,0,M4,Choice 1,,0:05,5,L,0
37,REV1,8,M4,O4,M3,O3,0,M4,Choice 1,,0:04,4,R,0
37,REV1,9,M3,O4,M4,O3,1,M4,Choice 1,,0:04,4,R,1
37,REV1,10,M4,O3,M3,O4,1,M4,Choice 1,,0:03,3,L,1
37,REV1,11,M3,O3,M4,O4,1,M4,Choice 1,,0:04,4,R,1
37,REV1,12,M3,O4,M4,O3,0,M4,Choice 1,,0:04,4,L,0
37,REV1,13,M4,O4,M3,O3,1,M4,Choice 1,,0:04,4,L,1
37,REV1,14,M3,O3,M4,O4,0,M4,Choice 1,,0:04,4,L,0
37,REV1,15,M3,O4,M4,O3,1,M4,Choice 2,,0:04,4,L,0
37,REV1,16,M4,O3,M3,O4,1,M4,Choice 1,,0:04,4,L,1
37,REV1,17,M4,O4,M3,O3,1,M4,Choice 2,,0:06,6,R,0
37,REV1,18,M3,O4,M4,O3,1,M4,Choice 2,,0:04,4,L,0
37,REV1,19,M3,O3,M4,O4,1,M4,Choice 1,,0:04,4,R,1
37,REV1,20,M4,O4,M3,O3,1,M4,Choice 1,,0:04,4,L,1
37,ID,1,M5,O5,M6,O6,0,M5,Choice 1,,0:04,4,R,0
37,ID,2,M6,O6,M5,O5,1,M5,Choice 1,,0:06,6,R,1
37,ID,3,M6,O5,M5,O6,0,M5,Choice 1,,0:05,5,L,0
37,ID,4,M5,O6,M6,O5,1,M5,Choice 1,,0:03,3,L,1
37,ID,5,M6,O6,M5,O5,1,M5,Choice 1,,0:04,4,R,1
37,ID,6,M6,O5,M5,O6,1,M5,Choice 2,,0:06,6,L,0
37,ID,7,M5,O5,M6,O6,1,M5,Choice 1,,0:04,4,L,1
37,ID,8,M6,O6,M5,O5,1,M5,Choice 1,,0:04,4,R,1
37,ID,9,M5,O6,M6,O5,1,M5,Choice 1,,0:04,4,L,1
37,REV2,1,M5,O5,M6,O6,0,M6,Choice 1,,0:05,5,L,0
37,REV2,2,M6,O6,M5,O5,0,M6,Choice 1,,0:04,4,R,0
37,REV2,3,M6,O5,M5,O6,1,M6,Choice 1,,0:04,4,L,1
37,REV2,4,M5,O6,M6,O5,0,M6,Choice 1,,0:05,5,L,0
37,REV2,5,M6,O6,M5,O5,1,M6,Choice 2,,0:07,7,R,0
37,REV2,6,M6,O5,M5,O6,0,M6,Choice 1,,0:06,6,R,0
37,REV2,7,M5,O5,M6,O6,0,M6,Choice 1,,0:08,8,L,0
37,REV2,8,M6,O6,M5,O5,1,M6,Choice 1,,0:05,5,L,1
37,REV2,9,M5,O6,M6,O5,1,M6,Choice 2,,0:04,4,L,0
37,REV2,10,M6,O5,M5,O6,1,M6,Choice 2,,0:06,6,R,0
37,REV2,11,M5,O5,M6,O6,1,M6,Choice 1,,0:04,4,L,1
37,REV2,12,M5,O6,M6,O5,1,M6,Choice 1,,0:04,4,R,1
37,REV2,13,M6,O6,M5,O5,1,M6,Choice 1,,0:04,4,L,1
37,ED,1,M1,O1,M2,O2,0,O1,Choice 1,,0:04,4,R,0
37,ED,2,M2,O2,M1,O1,1,O1,Choice 2,,0:05,5,L,0
37,ED,3,M2,O1,M1,O2,1,O1,Choice 1,,0:10,10,L,1
37,ED,4,M1,O2,M2,O1,1,O1,Choice 1,,0:04,4,R,1
37,ED,5,M2,O2,M1,O1,1,O1,Choice 1,,0:05,5,R,1
37,ED,6,M2,O1,M1,O2,1,O1,Choice 1,,0:11,11,L,1
37,ED,7,M1,O1,M2,O2,0,O1,Choice 1,,0:04,4,R,0
37,ED,8,M2,O2,M1,O1,0,O1,Choice 1,,0:04,4,L,0
37,ED,9,M1,O2,M2,O1,1,O1,Choice 1,,0:04,4,R,1
37,ED,10,M2,O1,M1,O2,1,O1,Choice 1,,0:05,5,L,1
37,ED,11,M1,O1,M2,O2,1,O1,Choice 1,,0:04,4,L,1
37,ED,12,M1,O2,M2,O1,1,O1,Choice 1,,0:05,5,R,1
37,ED,13,M2,O2,M1,O1,0,O1,Choice 1,,0:06,6,L,0
37,ED,14,M1,O1,M2,O2,1,O1,Choice 1,,0:04,4,L,1
37,ED,15,M1,O2,M2,O1,1,O1,Choice 2,,0:05,5,L,0
37,ED,16,M2,O1,M1,O2,1,O1,Choice 1,,0:04,4,L,1
